date	open	high	low	close	volume
2019-09-16	176.46	179.54	176.16	179.37	1032007
2019-09-17	179.37	180.64	177.39	177.65	588181
2019-09-18	177.59	178.01	171.84	175.8	969184
2019-09-19	176.0	180.89	175.75	180.36	1145472
2019-09-20	180.8	188.15	179.5	186.54	2798817
2019-09-23	186.37	186.83	182.51	183.89	1239547
2019-09-24	185.18	186.57	182.24	183.05	1822285
2019-09-25	184.51	184.51	180.37	183.63	863476
2019-09-26	183.27	185.0	176.63	178.99	1167444
2019-09-27	179.59	181.83	175.17	175.84	702591
2019-09-30	176.51	181.85	176.51	180.92	961911
2019-10-01	181.22	183.34	179.53	182.3	1114261
2019-10-02	181.44	182.0	176.35	179.75	977255
2019-10-03	179.9	184.86	175.52	184.77	783911
2019-10-04	184.59	187.67	180.11	181.59	862767
2019-10-07	177.85	186.49	177.18	184.51	853797
2019-10-08	183.43	186.07	181.25	184.3	1058058
2019-10-09	186.08	191.56	185.65	189.21	1228212
2019-10-10	189.25	194.19	189.16	194.17	952591
2019-10-11	195.51	202.52	194.0	200.16	1763665
2019-10-14	200.16	206.7	199.8	205.15	1081465
