date	open	high	low	close	volume
2019-09-16	1824.02	1825.69	1800.2	1807.84	3675473
2019-09-17	1807.08	1823.99	1804.1	1822.55	2033058
2019-09-18	1817.04	1822.06	1795.5	1817.46	2536012
2019-09-19	1821.02	1832.57	1817.9	1821.5	2078335
2019-09-20	1821.71	1830.63	1780.92	1794.16	5555839
2019-09-23	1777.0	1792.7	1767.32	1785.3	3139142
2019-09-24	1790.6	1795.7	1735.54	1741.61	4637901
2019-09-25	1747.36	1773.0	1723.0	1768.33	3531098
2019-09-26	1762.79	1763.37	1731.5	1739.84	3571952
2019-09-27	1748.0	1749.12	1713.82	1725.45	3948029
2019-09-30	1726.99	1737.46	1709.22	1735.91	2760768
2019-10-01	1746.0	1755.6	1728.41	1735.65	3170460
2019-10-02	1727.74	1728.89	1705.0	1713.23	3338476
2019-10-03	1713.0	1725.0	1685.06	1724.42	3624371
2019-10-04	1726.02	1740.57	1719.23	1739.65	2489277
2019-10-07	1731.63	1747.83	1723.7	1732.66	2187598
2019-10-08	1722.49	1727.0	1705.0	1705.51	2626840
2019-10-09	1719.61	1729.95	1714.36	1721.99	2089335
2019-10-10	1725.24	1738.29	1713.75	1720.26	2721531
2019-10-11	1742.92	1745.45	1729.86	1731.92	3279534
2019-10-14	1728.91	1741.88	1722.0	1736.43	1928898
