date	open	high	low	close	volume
2019-09-16	1230.44	1239.02	1225.19	1231.63	1410880
2019-09-17	1231.63	1235.0	1223.35	1229.88	1047201
2019-09-18	1230.24	1236.24	1216.47	1232.65	892788
2019-09-19	1232.32	1244.34	1232.31	1238.75	847002
2019-09-20	1233.64	1242.8	1223.58	1229.84	1937743
2019-09-23	1226.57	1239.68	1223.78	1234.69	1197069
2019-09-24	1240.0	1247.11	1210.64	1218.33	1835712
2019-09-25	1216.01	1248.02	1209.2	1245.94	1355162
2019-09-26	1242.14	1244.67	1231.82	1242.29	1171577
2019-09-27	1242.83	1244.99	1215.2	1225.95	1722481
2019-09-30	1220.6	1227.4	1213.42	1221.14	1294609
2019-10-01	1222.49	1232.85	1205.55	1206.0	1282735
2019-10-02	1196.5	1198.76	1172.63	1177.92	1674774
2019-10-03	1183.34	1191.0	1163.14	1189.43	1469413
2019-10-04	1194.29	1212.46	1190.97	1210.96	1228686
2019-10-07	1207.0	1218.91	1204.36	1208.25	879020
2019-10-08	1198.77	1206.86	1189.48	1190.13	1032426
2019-10-09	1201.33	1208.46	1198.11	1202.4	813216
2019-10-10	1198.6	1215.62	1197.86	1209.47	668244
2019-10-11	1224.03	1228.75	1213.63	1215.71	1126452
2019-10-14	1213.89	1225.88	1211.88	1217.77	683926
