date	open	high	low	close	volume
2019-09-16	171.21	171.21	167.91	169.67	2459306
2019-09-17	167.76	168.57	166.5	168.07	2742017
2019-09-18	167.61	168.05	165.25	167.44	2190557
2019-09-19	167.39	168.81	166.91	167.07	1631552
2019-09-20	167.43	169.17	166.48	166.76	3712913
2019-09-23	165.49	167.42	164.5	166.76	2114937
2019-09-24	167.05	167.55	164.16	164.74	3052313
2019-09-25	164.76	164.98	163.68	164.0	2788159
2019-09-26	164.0	164.41	162.8	163.83	2784498
2019-09-27	164.48	165.63	163.52	164.53	2870298
2019-09-30	165.21	165.56	163.94	164.4	2574771
2019-10-01	165.0	165.21	158.17	158.38	3283467
2019-10-02	157.06	157.22	154.63	155.65	3046851
2019-10-03	155.14	155.46	150.81	155.23	3089563
2019-10-04	155.23	156.05	154.4	155.82	2648859
2019-10-07	155.0	155.35	153.52	153.52	2522123
2019-10-08	152.33	152.8	150.58	150.74	2822012
2019-10-09	152.34	152.44	150.79	150.99	3434926
2019-10-10	150.95	153.09	150.87	152.31	3201645
2019-10-11	154.13	159.6	154.11	158.1	4686467
2019-10-14	158.04	162.39	157.34	160.51	3283072
