code,name,description,refreshed_at,from_date,to_date
1COV_X,Covestro AG (1COV_X),Stock Prices for Covestro AG (1COV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0006062144,2019-04-12 22:53:20,2015-10-06,2019-04-12
2HR_X,H&R (2HR_X),"Stock Prices for H&r Ag from the Frankfurt Stock Exchange. Trading System: Xetra. As a specialty chemicals player, H&R is active in the development and production of crude oil based chemical-pharmaceutical products and the manufacture of precision plastics parts. In their individual business areas the Group companies in Germany and Europe hold promising positions as market and/or technology leaders. The Group employs a workforce of more than 1,400 members of staff. For further information please visit the website www.hur.com.",2017-02-28 22:30:42,2000-01-03,2017-02-28
AAD_X,Amadeus FiRe AG (AAD_X),Stock Prices for Amadeus FiRe AG (AAD) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005093108,2019-04-12 22:53:20,2000-02-01,2019-04-12
AB1_X,Air Berlin Plc (AB1_X),Stock Prices for Air Berlin Plc (AB1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: GB00B128C026,2019-04-12 22:53:20,2006-05-11,2019-04-12
ADS_X,Adidas (ADS_X),Stock Prices for Adidas (ADS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1EWWW0,2019-04-12 22:53:20,2000-01-03,2019-04-12
ADV_X,Adva Se (ADV_X),Stock Prices for Adva Se (ADV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005103006,2019-04-12 22:53:20,2000-03-28,2019-04-12
AFX_X,Carl Zeiss Meditec (AFX_X),Stock Prices for Carl Zeiss Meditec (AFX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005313704,2019-04-12 22:53:20,2000-06-07,2019-04-12
AIR_X,Airbus Group (eads N.v.) (AIR_X),Stock Prices for Airbus Group (eads N.v.) (AIR) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: NL0000235190,2019-04-12 22:53:20,2000-07-10,2019-04-12
AIXA_X,Aixtron Se (AIXA_X),Stock Prices for Aixtron Se (AIXA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0WMPJ6,2019-04-12 22:53:20,2000-01-18,2019-04-12
ALV_X,Allianz Se (ALV_X),Stock Prices for Allianz Se (ALV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0008404005,2019-04-12 22:53:20,2000-01-18,2019-04-12
ANN_X,Deutsche Annington Immobilien Se (ANN_X),Stock Prices for Deutsche Annington Immobilien Se (ANN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1ML7J1,2019-04-12 22:53:20,2013-07-11,2019-04-12
AOX_X,alstria office REIT-AG (AOX_X),Stock Prices for alstria office REIT-AG (AOX) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A0LD2U1,2019-04-12 22:53:20,2014-02-26,2019-04-12
ARL_X,Aareal Bank (ARL_X),Stock Prices for Aareal Bank (ARL) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005408116,2019-04-12 22:53:20,2002-09-25,2019-04-12
B5A_X,Bauer Aktiengesellschaft (B5A_X),Stock Prices for Bauer Aktiengesellschaft (B5A) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005168108,2019-04-12 22:53:20,2006-07-04,2019-04-12
BAF_X,Balda (BAF_X),"Stock Prices for Balda Ag from the Frankfurt Stock Exchange. Trading System: Xetra. Balda is a provider of first-class solutions for demanding, high-quality applications in the fields of medical technology, optics, the automotive industry and other specialist industrial sectors. The Group's operating divisions - Balda Medical and Balda Technical - have operations worldwide, and the company maintains production facilities in Germany and the USA. The success of Balda, which employs more than 900 people, is based on the deployment of leading-edge, cost-effective technologies, coupled with the trust-based collaboration with customers.",2016-04-14 20:21:07,2000-01-18,2016-04-14
BAS_X,Basf Se (BAS_X),Stock Prices for Basf Se (BAS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000BASF111,2019-04-12 22:53:20,2000-01-18,2019-04-12
BAYN_X,Bayer (BAYN_X),Stock Prices for Bayer (BAYN) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000BAY0017,2019-04-12 22:53:20,2000-01-18,2019-04-12
BBZA_X,Bb Biotech (BBZA_X),Stock Prices for Bb Biotech (BBZA) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: CH0038389992,2019-04-12 22:53:20,2000-01-20,2019-04-12
BC8_X,Bechtle (BC8_X),Stock Prices for Bechtle (BC8) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005158703,2019-04-12 22:53:20,2000-06-06,2019-04-12
BDT_X,Bertrandt (BDT_X),Stock Prices for Bertrandt (BDT) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005232805,2019-04-12 22:53:20,2000-01-03,2019-04-12
BEI_X,Beiersdorf Aktiengesellschaft (BEI_X),Stock Prices for Beiersdorf Aktiengesellschaft (BEI) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005200000,2019-04-12 22:53:20,2000-01-18,2019-04-12
BIO3_X,Biotest  Vz (BIO3_X),Stock Prices for Biotest  Vz (BIO3) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005227235,2019-04-12 22:53:20,2000-01-14,2019-04-12
BMW_X,Bmw St (BMW_X),Stock Prices for Bmw St (BMW) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005190003,2019-04-12 22:53:20,2000-01-18,2019-04-12
BNR_X,Brenntag (BNR_X),Stock Prices for Brenntag (BNR) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1DAHH0,2019-04-12 22:53:20,2010-03-29,2019-04-12
BOSS_X,Hugo Boss (BOSS_X),Stock Prices for Hugo Boss (BOSS) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000A1PHFF7,2019-04-12 22:53:20,2000-01-03,2019-04-12
BYW6_X,Baywa Vna (BYW6_X),Stock Prices for Baywa Vna (BYW6) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005194062,2019-04-12 22:53:20,2000-11-06,2019-04-12
CBK_X,Commerzbank (CBK_X),Stock Prices for Commerzbank (CBK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CBK1001,2019-04-12 22:53:20,2000-01-18,2019-04-12
CEV_X,Centrotec Sustainable (CEV_X),Stock Prices for Centrotec Sustainable (CEV) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005407506,2019-04-12 22:53:20,2000-01-14,2019-04-12
CLS1_X,Celesio (CLS1_X),Stock Prices for Celesio (CLS1) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE000CLS1001,2017-04-28 22:28:59,2000-01-18,2017-04-28
COK_X,Cancom Se (COK_X),Stock Prices for Cancom Se (COK) from the Frankfurt Stock Exchange.<br><br>Trading System: Xetra<br><br>ISIN: DE0005419105,2019-04-12 22:53:20,2000-03-20,2019-04-12
